;;; @article{yunetal2015,
;;; 	title={The Korean Corpus of Spontaneous Speech},
;;; 	author={Yun, W., Yoon, K., Park, S., Lee, J., Cho, S., Kang, D., Byun, K., Hahn, H., Kim, J.},
;;; 	journal={Journal of the Korean Society of Speech Sciences},
;;; 	volume={7(2)},
;;; 	pages={103–109},
;;; 	year={2015},
;;; 	publisher={}
;;; }
ㄱㅏㄱㅗㄹㅡㄹ	g a g o r eu L
ㄱㅏㄱㅗㅇ	g a g o NG
ㄱㅏㄱㅗㅇㅡㄹ	g a g o NG eu L
ㄱㅏㄱㅗㅈㅏ	g a g o j a
ㄱㅏㄱㅗㅛ	g a g o y eo
ㄱㅏㄱㅗㅛ	g a g u y eo
ㄱㅏㄱㅗㅛ	g a g u y o
ㄱㅏㄱㅘㄴㄷㅗ	g a g a N d o
ㄱㅏㄱㅜ	g a g u
ㄱㅏㄱㅜㄱㅏ	kk a g u g a
ㄱㅏㄱㅡㅂㅈㅓㄱㅣㅁㅕㄴ	g a g eu P jj eo g i m y eo N
ㄱㅏㄱㅣ	a g i
ㄱㅏㄱㅣ	g a g i
ㄱㅏㄱㅣ	g a i
ㄱㅏㄱㅣ	kk a g i
ㄱㅏㄱㅣㄱㅏ	g a g i g a
ㄱㅏㄱㅣㄱㅏ	kk a g i g a
ㄱㅏㄱㅣㄴ	g a g i N
ㄱㅏㄱㅣㄴ	kk a g i N
ㄱㅏㄱㅣㄴㅡㄴ	g a g i n eu NG
ㄱㅏㄱㅣㄷㅗ	g a g i
ㄱㅏㄱㅣㄷㅗ	g a g i d o
ㄱㅏㄱㅣㄷㅗ	g a g i d u
ㄱㅏㄱㅣㄹ	g a g i L
ㄱㅏㄱㅣㄹㅏㄴ	g a g i r a N
ㄱㅏㄱㅣㄹㅗ	g a g i r u
ㄱㅏㄱㅣㅁㅏㄴ	g a g i m a N
ㄱㅏㄱㅣㅔㄴㅡㄴ	g a g i e n eu N
ㄱㅏㄲㅏㅂㄱㅗ	g a kk a P kk o
ㄱㅏㄲㅏㅂㄱㅗ	g a kk a kk o
ㄱㅏㄲㅏㅂㄷㅏㄴ	g a kk a P tt a M
ㄱㅏㄲㅏㅂㅈㅏㄶㅏㅛ	g a kk a P jj i a n a y o
ㄱㅏㄲㅏㅂㅈㅣ	g a kk a P jj i
ㄱㅏㄲㅏㅘㅛ	g a kk a w a y eo
ㄱㅏㄲㅏㅜㄴ	g a kk a eu M
ㄱㅏㄲㅏㅜㄴ	g a kk a u M
ㄱㅏㄲㅏㅜㄴ	g a kk a u N
ㄱㅏㄲㅏㅜㄴ	g a kk a u NG
ㄱㅏㄲㅏㅜㄴ	g a kk o o N
ㄱㅏㄲㅏㅜㄴㅣㄲㅏ	g a kk a u n i kk a
ㄱㅏㄲㅏㅜㄴㅣㄲㅏ	g a kk a u n i kk a N
ㄱㅏㄲㅏㅜㄹ	g a kk a u L
ㄱㅏㄲㅏㅜㅁㅕㄴㅡㄴ	g a kk a u m eu n eu N
ㄱㅏㄲㅏㅝㅅㅓ	g a kk a eo s eo
